Materia / Metodología,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10
Álgebra y Lógica Matemática,X,X,,X,,,,,X,
Algoritmos y Datos,X,X,X,X,,,X,X,X,
Análisis Matemático,X,X,,X,,,,,X,
Cálculo Numérico,X,X,,X,,,,X,X,
Ciencia de Datos,X,X,X,X,,,X,X,X,
Computación,X,X,X,X,,,X,X,X,
Computación Cuántica,X,X,X,X,,,X,,X,
Computación Paralela,X,X,X,X,,,X,,X,
Criptografía,X,X,X,X,,,X,,X,
Economía,X,X,,,,,X,,X,
Estadística,X,X,,X,,,X,,X,
Fundamentos Matemáticos,X,X,,,,,,,,
Humanidades,X,,,,,X,,,X,
Ingeniería del Software,X,X,X,X,,,X,,X,
Inteligencia Artificial,X,X,X,X,,,X,X,X,
Matemática Aplicada a la Economía,X,X,X,X,,,X,X,X,
Matemática Avanzada,X,X,,X,,,,,X,
Matemática Financiera,X,X,X,X,,,X,X,X,
Prácticas Externas,,,,,,,,,,X
Proyectos,,,X,,X,,,,,
Sistemas de Información,X,X,X,X,,,,,X,
Sistemas Operativos y Redes,X,X,X,X,,,,,,
Tecnología Digital,X,X,X,X,,,,,X,
Trabajo Fin de Grado,,,,,X,,,,,
