Asignatura,"SE1
Exámenes escritos","SE2
Exámenes prácticos","SE3
Trabajos individuales","SE4
Trabajos grupales","SE5
Pruebas orales","SE6
Evaluación PEX","SE7
Evaluación TFG",TOTAL
Fundamentos de Matemáticas,100,,,,,,,100
Análisis I,70,30,,,,,,100
Álgebra Lineal,70,30,,,,,,100
Matemática Discreta,70,30,,,,,,100
Programación,20,40,,40,,,,100
Análisis II,70,30,,,,,,100
Probabilidad y Estadística,50,30,20,,,,,100
Algoritmos y Estructuras de Datos,20,40,,40,,,,100
Claves de Historia Contemporánea,60-90,,10-40,,,,,0
Proyecto I ,,,,100,,,,100
Análisis III,70,30,,,,,,100
Ecuaciones Diferenciales y en Diferencias,70,30,,,,,,100
Bases de Datos,40,40,20,,,,,100
Estadística Inferencial,50,30,20,,,,,100
Fundamentos Económicos,80,,20,,,,,100
Geometría Diferencial,70,30,,,,,,100
Métodos Numéricos I,40,40,20,,,,,100
Electrónica Digital y Arquitectura de Ordenadores,40,40,20,,,,,100
Ecuaciones en Derivadas Parciales,70,30,,,,,,100
Análisis de Datos,40,40,20,,,,,100
Proyecto II,,,,100,,,,100
Sistemas Operativos y Redes de Ordenadores,40,40,20,,,,,100
Optimización,40,40,20,,,,,100
Métodos Numéricos II,40,40,20,,,,,100
Hombre y Mundo Moderno,60,,0-40,0-40,,,,60
Sistemas Dinámicos,70,30,,,,,,100
Análisis Funcional,70,30,,,,,,100
Topología,70,30,,,,,,100
Variable Compleja y Análisis de Fourier,70,30,,,,,,100
Aprendizaje Automático,20,40,,40,,,,100
Computación en paralelo,20,40,,40,,,,100
Cálculo Estocástico,70,30,,,,,,100
Matemática Financiera I,50,30,20,,,,,100
Matemáticas Actuariales,50,30,20,,,,,100
Lógica Formal,40,40,20,,,,,100
Teoría de la Computación,40,40,20,,,,,100
Fundamentos de la Inteligencia Artificial,40,40,20,,,,,100
Matemática Financiera II,50,30,20,,,,,100
Minería de Datos y Big Data,40,40,20,,,,,100
Modelos de Riesgo Cuantitativo,50,30,20,,,,,100
Teoría y optimización de carteras,50,30,20,,,,,100
Series Temporales,50,30,20,,,,,100
Programación Lógica,40,40,20,,,,,100
Programación Funcional,40,40,20,,,,,100
Percepción Computacional,40,40,20,,,,,100
Procesamiento de Lenguaje Natural,40,40,20,,,,,100
Administración de sistemas,40,40,20,,,,,100
Doctrina Social de la Iglesia,75-85,,15-25,,,,,0
Prácticas externas,,,,,,100,,0
Trabajo Fin de Grado,,,,,,,100,0
Computación Cuántica,40,40,20,,,,,100
Aprendizaje profundo,40,40,20,,,,,100
Procesos Estocásticos,70,30,,,,,,100
Criptografía y Blockchain,40,40,20,,,,,100
Teoría de la señal,40,40,20,,,,,100
Ingeniería del Software,70,,30,,,,,100
Grandes libros,60,,0-40,0-40,,,,
Ética y Deontología,70,,0-30,0-30,,,,
