Código,Asignatura,ECTS,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8
19968,Fundamentos de Matemáticas,3,30,,,,1,,59,
19967,Análisis I,6,45,,15,,4,,116,
19964,Álgebra Lineal,9,60,30,,,6,,174,
19965,Matemática Discreta,6,45,15,,,4,,116,
19966,Programación,6,30,30,,,4,,116,
19970,Análisis II,6,45,,15,,4,,116,
19971,Probabilidad y Estadística,6,45,15,,,4,,116,
19969,Algoritmos y Estructuras de Datos,9,45,45,,,6,,174,
19972,Claves de Historia Contemporánea,6,60,,,,4,,116,
19973,Proyecto I ,3,10,,,20,,,60,
19975,Análisis III,6,45,,15,,4,,116,
19978,Ecuaciones Diferenciales y en Diferencias,6,45,15,,,4,,116,
19974,Bases de Datos,6,30,30,,,4,,116,
19976,Estadística Inferencial,6,45,15,,,4,,116,
19977,Fundamentos Económicos,6,60,,,,4,,116,
19981,Geometría Diferencial,3,30,,,,2,,58,
19979,Métodos Numéricos I,6,30,30,,,4,,116,
19984,Electrónica Digital y Arquitectura de Ordenadores,6,45,15,,,4,,116,
19982,Ecuaciones en Derivadas Parciales,6,45,15,,,4,,116,
19980,Análisis de Datos,6,30,30,,,4,,116,
19983,Proyecto II,3,10,,,20,,,60,
19988,Sistemas Operativos y Redes de Ordenadores,6,45,15,,,4,,116,
19985,Optimización,6,45,15,,,4,,116,
19986,Métodos Numéricos II,6,30,30,,,4,,116,
19987,Hombre y Mundo Moderno,6,55,,5,,4,,116,
19989,Sistemas Dinámicos,3,20,,10,,2,,58,
19991,Análisis Funcional,3,20,,10,,2,,58,
19992,Topología,3,20,,10,,2,,58,
19990,Variable Compleja y Análisis de Fourier,6,45,15,,,2,,116,
19993,Aprendizaje Automático,6,30,30,,,4,,116,
19994,Computación en paralelo,6,30,30,,,4,,116,
19995,Cálculo Estocástico,6,45,15,,,4,,116,
19997,Matemática Financiera I,6,30,30,,,4,,116,
19996,Matemáticas Actuariales,6,30,30,,,4,,116,
19998,Lógica Formal,6,45,15,,,4,,116,
19999,Teoría de la Computación,6,45,15,,,4,,116,
20000,Fundamentos de la Inteligencia Artificial,6,30,30,,,4,,116,
20002,Matemática Financiera II,6,30,30,,,4,,116,
20005,Minería de Datos y Big Data,6,30,30,,,4,,116,
20003,Modelos de Riesgo Cuantitativo,6,45,15,,,4,,116,
20004,Teoría y optimización de carteras,6,45,15,,,4,,116,
20001,Series Temporales,6,45,15,,,4,,116,
20006,Programación Lógica,6,30,30,,,4,,116,
20007,Programación Funcional,6,30,30,,,4,,116,
20008,Percepción Computacional,6,30,30,,,4,,116,
20009,Procesamiento de Lenguaje Natural,6,30,30,,,4,,116,
20010,Administración de sistemas,6,30,30,,,4,,116,
20011,Doctrina Social de la Iglesia,6,54,,6,,4,,116,
20012,Prácticas externas,12,,,,,,252,108,
20013,Trabajo Fin de Grado,9,,,,,1,,262,7
20016,Computación Cuántica,3,15,15,,,2,,58,
20017,Aprendizaje profundo,3,15,15,,,2,,58,
20018,Procesos Estocásticos,3,15,15,,,2,,58,
20014,Criptografía y Blockchain,3,15,15,,,2,,58,
20019,Teoría de la señal,3,15,15,,,2,,58,
20015,Ingeniería del Software,3,15,15,,,2,,58,
20020,Grandes libros,3,30,,,,2,,58,
20021,Ética y Deontología,3,26,,4,,2,,58,
