Código,Asignatura,ECTS,Rama,Módulo,Materia,Área de Conocimiento,Curso,Semestre,Carácter,Mención,Dependencias
19968,Fundamentos de Matemáticas,3,Ciencias,Matemáticas,Fundamentos Matemáticos,Matemática Aplicada,1,1,Obligatoria,Común,
19967,Análisis I,6,Ciencias,Matemáticas,Análisis Matemático,Matemática Aplicada,1,1,Básica,Común,
19964,Álgebra Lineal,9,Ingeniería y Arquitectura,Matemáticas,Álgebra y Lógica Matemática,Matemática Aplicada,1,1,Básica,Común,
19965,Matemática Discreta,6,Ingeniería y Arquitectura,Matemáticas,Álgebra y Lógica Matemática,Matemática Aplicada,1,1,Básica,Común,
19966,Programación,6,Ingeniería y Arquitectura,Computación,Algoritmos y Datos,Lenguajes y Sistemas Informáticos,1,1,Básica,Común,
19970,Análisis II,6,Ciencias,Matemáticas,Análisis Matemático,Matemática Aplicada,1,2,Básica,Común,Análisis I
19971,Probabilidad y Estadística,6,Ciencias Sociales y Jurídicas,Estadística,Estadística,Estadística e Investigación Operativa,1,2,Básica,Común,
19969,Algoritmos y Estructuras de Datos,9,Ingeniería y Arquitectura,Computación,Algoritmos y Datos,Lenguajes y Sistemas Informáticos,1,2,Básica,Común,Programación;Matemática Discreta
19972,Claves de Historia Contemporánea,6,Arte y Humanidades,Humanidades,Humanidades,Humanidades,1,2,Obligatoria,Común,
19973,Proyecto I ,3,Ingeniería y Arquitectura,Proyectos,Proyectos,Lenguajes y Sistemas Informáticos,1,2,Obligatoria,Común,Análisis I;Álgebra Lineal;Matemática Discreta;Programación;Probabilidad y Estadística;Análisis II;Algoritmos y Estructuras de Datos
19975,Análisis III,6,Ciencias,Matemáticas,Análisis Matemático,Matemática Aplicada,2,3,Obligatoria,Común,Análisis II
19978,Ecuaciones Diferenciales y en Diferencias,6,Ciencias,Matemáticas,Matemática Avanzada,Matemática Aplicada,2,3,Obligatoria,Común,Análisis I
19974,Bases de Datos,6,Ingeniería y Arquitectura,Computación,Algoritmos y Datos,Lenguajes y Sistemas Informáticos,2,3,Básica,Común,
19976,Estadística Inferencial,6,Ciencias Sociales y Jurídicas,Estadística,Estadística,Estadística e Investigación Operativa,2,3,Obligatoria,Común,Probabilidad y Estadística
19977,Fundamentos Económicos,6,Ciencias Sociales y Jurídicas,Economía,Economía,Economía,2,3,Obligatoria,Común,
19981,Geometría Diferencial,3,Ciencias,Matemáticas,Matemática Avanzada,Matemática Aplicada,2,4,Obligatoria,Común,Análisis I
19979,Métodos Numéricos I,6,Ingeniería y Arquitectura,Cálculo Numérico,Cálculo Numérico,Matemática Aplicada,2,4,Básica,Común,
19984,Electrónica Digital y Arquitectura de Ordenadores,6,Ingeniería y Arquitectura,Computación,Tecnología Digital,Tecnología Electrónica,2,4,Obligatoria,Común,
19982,Ecuaciones en Derivadas Parciales,6,Ciencias,Matemáticas,Matemática Avanzada,Matemática Aplicada,2,4,Obligatoria,Común,Análisis II;Ecuaciones Diferenciales
19980,Análisis de Datos,6,Ciencias Sociales y Jurídicas,Estadística,Estadística,Estadística e Investigación Operativa,2,4,Obligatoria,Común,Programación;Probabilidad y Estadística;Bases de Datos
19983,Proyecto II,3,Ingeniería y Arquitectura,Proyectos,Proyectos,Lenguajes y Sistemas Informáticos,2,4,Obligatoria,Común,
19988,Sistemas Operativos y Redes de Ordenadores,6,Ingeniería y Arquitectura,Computación,Sistemas Operativos y Redes,Lenguajes y Sistemas Informáticos,3,5,Obligatoria,Común,
19985,Optimización,6,Ingeniería y Arquitectura,Cálculo Numérico,Cálculo Numérico,Matemática Aplicada,3,5,Obligatoria,Común,
19986,Métodos Numéricos II,6,Ingeniería y Arquitectura,Cálculo Numérico,Cálculo Numérico,Matemática Aplicada,3,5,Obligatoria,Común,
19987,Hombre y Mundo Moderno,6,Arte y Humanidades,Humanidades,Humanidades,Humanidades,3,5,Obligatoria,Común,
19989,Sistemas Dinámicos,3,Ciencias,Matemáticas,Matemática Avanzada,Matemática Aplicada,3,5,Optativa,Común,
19991,Análisis Funcional,3,Ciencias,Matemáticas,Análisis Matemático,Matemática Aplicada,3,5,Optativa,Común,
19992,Topología,3,Ciencias,Matemáticas,Matemática Avanzada,Matemática Aplicada,3,5,Optativa,Común,
19990,Variable Compleja y Análisis de Fourier,6,Ingeniería y Arquitectura,Matemáticas,Matemática Avanzada,Matemática Aplicada,3,5,Optativa,Común,
19993,Aprendizaje Automático,6,Ingeniería y Arquitectura,Inteligencia Artificial,Ciencia de Datos,Ciencias de la Computación e Inteligencia Artificial,3,6,Obligatoria,Común,
19994,Computación en paralelo,6,Ingeniería y Arquitectura,Computación,Computación Paralela,Ciencias de la Computación e Inteligencia Artificial,3,6,Obligatoria,Común,
19995,Cálculo Estocástico,6,Ciencias Sociales y Jurídicas,Economía Cuantitativa,Matemática Aplicada a la Economía,Métodos Cuantitativos para la Economía,3,6,Optativa - Obligatoria Mención,Economía,
19997,Matemática Financiera I,6,Ciencias Sociales y Jurídicas,Economía Cuantitativa,Matemática Financiera,Economía Financiera y Contabilidad,3,6,Optativa - Obligatoria Mención,Economía,
19996,Matemáticas Actuariales,6,Ciencias Sociales y Jurídicas,Economía Cuantitativa,Matemática Aplicada a la Economía,Métodos Cuantitativos para la Economía,3,6,Optativa - Obligatoria Mención,Economía,
19998,Lógica Formal,6,Ingeniería y Arquitectura,Inteligencia Artificial,Computación,Ciencias de la Computación e Inteligencia Artificial,3,6,Optativa - Obligatoria Mención,Inteligencia Artificial,
19999,Teoría de la Computación,6,Ingeniería y Arquitectura,Inteligencia Artificial,Computación,Ciencias de la Computación e Inteligencia Artificial,3,6,Optativa - Obligatoria Mención,Inteligencia Artificial,
20000,Fundamentos de la Inteligencia Artificial,6,Ingeniería y Arquitectura,Inteligencia Artificial,Inteligencia Artificial,Ciencias de la Computación e Inteligencia Artificial,3,6,Optativa - Obligatoria Mención,Inteligencia Artificial,
20002,Matemática Financiera II,6,Ciencias Sociales y Jurídicas,Economía Cuantitativa,Matemática Financiera,Economía Financiera y Contabilidad,4,7,Optativa - Obligatoria Mención,Economía,
20005,Minería de Datos y Big Data,6,Ingeniería y Arquitectura,Inteligencia Artificial,Minería de Datos,Ciencias de la Computación e Inteligencia Artificial,4,7,Optativa - Obligatoria Mención,Economía,
20003,Modelos de Riesgo Cuantitativo,6,Ciencias Sociales y Jurídicas,Economía Cuantitativa,Matemática Financiera,Economía Financiera y Contabilidad,4,7,Optativa - Obligatoria Mención,Economía,
20004,Teoría y optimización de carteras,6,Ciencias Sociales y Jurídicas,Economía Cuantitativa,Matemática Financiera,Economía Financiera y Contabilidad,4,7,Optativa - Obligatoria Mención,Economía,
20001,Series Temporales,6,Ciencias Sociales y Jurídicas,Economía Cuantitativa,Matemática Aplicada a la Economía,Métodos Cuantitativos para la Economía,4,7,Optativa - Obligatoria Mención,Economía,
20006,Programación Lógica,6,Ingeniería y Arquitectura,Inteligencia Artificial,Computación,Ciencias de la Computación e Inteligencia Artificial,4,7,Optativa - Obligatoria Mención,Inteligencia Artificial,
20007,Programación Funcional,6,Ingeniería y Arquitectura,Inteligencia Artificial,Computación,Ciencias de la Computación e Inteligencia Artificial,4,7,Optativa - Obligatoria Mención,Inteligencia Artificial,
20008,Percepción Computacional,6,Ingeniería y Arquitectura,Inteligencia Artificial,Inteligencia Artificial,Ciencias de la Computación e Inteligencia Artificial,4,7,Optativa - Obligatoria Mención,Inteligencia Artificial,
20009,Procesamiento de Lenguaje Natural,6,Ingeniería y Arquitectura,Inteligencia Artificial,Inteligencia Artificial,Ciencias de la Computación e Inteligencia Artificial,4,7,Optativa - Obligatoria Mención,Inteligencia Artificial,
20010,Administración de sistemas,6,Ingeniería y Arquitectura,Computación,Sistemas de Información,Lenguajes y Sistemas Informáticos,4,7,Optativa - Obligatoria Mención,Inteligencia Artificial,
20011,Doctrina Social de la Iglesia,6,Arte y Humanidades,Humanidades,Humanidades,Humanidades,4,8,Obligatoria,Común,
20012,Prácticas externas,12,Prácticas Externas,Prácticas Externas,Prácticas Externas,Ciencias de la Computación e Inteligencia Artificial,4,8,Prácticas Externas,Común,
20013,Trabajo Fin de Grado,9,Trabajo Fin de Grado,Trabajo Fin de Grado,Trabajo Fin de Grado,Ciencias de la Computación e Inteligencia Artificial,4,8,TFG,Común,
20016,Computación Cuántica,3,Ingeniería y Arquitectura,Computación,Computación Cuántica,Ciencias de la Computación e Inteligencia Artificial,4,8,Optativa de Mención,Común,
20017,Aprendizaje profundo,3,Ingeniería y Arquitectura,Inteligencia Artificial,Ciencia de Datos,Ciencias de la Computación e Inteligencia Artificial,4,8,Optativa de Mención,Común,
20018,Procesos Estocásticos,3,Ciencias Sociales y Jurídicas,Matemáticas,Matemática Aplicada a la Economía,Métodos Cuantitativos para la Economía,4,8,Optativa de Mención,Economía,
20014,Criptografía y Blockchain,3,Ingeniería y Arquitectura,Computación,Criptografía,Ciencias de la Computación e Inteligencia Artificial,4,8,Optativa de Mención,Economía,
20019,Teoría de la señal,3,Ingeniería y Arquitectura,Teoría de la Señal y las Comunicaciones,Tecnología Digital,Teoría de la Señal y Comunicaciones,4,8,Optativa de Mención,Inteligencia Artificial,
20015,Ingeniería del Software,3,Ingeniería y Arquitectura,Computación,Ingeniería del Software,Lenguajes y Sistemas Informáticos,4,8,Optativa de Mención,Inteligencia Artificial,
20020,Grandes libros,3,Arte y Humanidades,Humanidades,Humanidades,Humanidades,4,8,Optativa de Mención,Común,
20021,Ética y Deontología,3,Arte y Humanidades,Humanidades,Humanidades,Humanidades,4,8,Optativa de Mención,Común,
