Código,Asignatura,SE1,SE2,SE3,SE4,SE5,SE6,SE7
19968,Fundamentos de Matemáticas,100,,,,,,
19967,Análisis I,70,30,,,,,
19964,Álgebra Lineal,70,30,,,,,
19965,Matemática Discreta,70,30,,,,,
19966,Programación,20,40,,40,,,
19970,Análisis II,70,30,,,,,
19971,Probabilidad y Estadística,50,30,20,,,,
19969,Algoritmos y Estructuras de Datos,20,40,,40,,,
19972,Claves de Historia Contemporánea,60-90,,10-40,,,,
19973,Proyecto I ,,,,100,,,
19975,Análisis III,70,30,,,,,
19978,Ecuaciones Diferenciales y en Diferencias,70,30,,,,,
19974,Bases de Datos,40,40,20,,,,
19976,Estadística Inferencial,50,30,20,,,,
19977,Fundamentos Económicos,80,,20,,,,
19981,Geometría Diferencial,70,30,,,,,
19979,Métodos Numéricos I,40,40,20,,,,
19984,Electrónica Digital y Arquitectura de Ordenadores,40,40,20,,,,
19982,Ecuaciones en Derivadas Parciales,70,30,,,,,
19980,Análisis de Datos,40,40,20,,,,
19983,Proyecto II,,,,100,,,
19988,Sistemas Operativos y Redes de Ordenadores,40,40,20,,,,
19985,Optimización,40,40,20,,,,
19986,Métodos Numéricos II,40,40,20,,,,
19987,Hombre y Mundo Moderno,60,,0-40,0-40,,,
19989,Sistemas Dinámicos,70,30,,,,,
19991,Análisis Funcional,70,30,,,,,
19992,Topología,70,30,,,,,
19990,Variable Compleja y Análisis de Fourier,70,30,,,,,
19993,Aprendizaje Automático,20,40,,40,,,
19994,Computación en paralelo,20,40,,40,,,
19995,Cálculo Estocástico,70,30,,,,,
19997,Matemática Financiera I,50,30,20,,,,
19996,Matemáticas Actuariales,50,30,20,,,,
19998,Lógica Formal,40,40,20,,,,
19999,Teoría de la Computación,40,40,20,,,,
20000,Fundamentos de la Inteligencia Artificial,40,40,20,,,,
20002,Matemática Financiera II,50,30,20,,,,
20005,Minería de Datos y Big Data,40,40,20,,,,
20003,Modelos de Riesgo Cuantitativo,50,30,20,,,,
20004,Teoría y optimización de carteras,50,30,20,,,,
20001,Series Temporales,50,30,20,,,,
20006,Programación Lógica,40,40,20,,,,
20007,Programación Funcional,40,40,20,,,,
20008,Percepción Computacional,40,40,20,,,,
20009,Procesamiento de Lenguaje Natural,40,40,20,,,,
20010,Administración de sistemas,40,40,20,,,,
20011,Doctrina Social de la Iglesia,75-85,,15-25,,,,
20012,Prácticas externas,,,,,,100,
20013,Trabajo Fin de Grado,,,,,,,100
20016,Computación Cuántica,40,40,20,,,,
20017,Aprendizaje profundo,40,40,20,,,,
20018,Procesos Estocásticos,70,30,,,,,
20014,Criptografía y Blockchain,40,40,20,,,,
20019,Teoría de la señal,40,40,20,,,,
20015,Ingeniería del Software,70,,30,,,,
20020,Grandes libros,60,,0-40,0-40,,,
20021,Ética y Deontología,70,,0-30,0-30,,,
